newTrade,dbTrade
Additive Manufacturing Technician Three D Printing,Marine Fitter
Advanced CNC Machining Technician,Dress Making
Aeronautical Structure and Equipment Fitter,Drone Pilot
Agro Processing,Electrical & Electronics Engineering(EEE)
Architectural Draughtsman,Moulding Operator
Artisan Using Advanced Tool,Multi Skilled Technician
Attendant Operator (Chemical Plant),Pest Control Technician
Automotive Technicians,Cook
Baker and Confectioner,Leather And Leather Goods
Bamboo Works,RAC CAC
Basic Designer and Virtual Verifier (Mechanical),Waiter
Boiler Technicians,COPA
Cable Installation Technicians,Welder
Catering & Hospitality Assistant,Fabrication
Central Aircondition Plant Mechanic,Architectural Assistant
Civil Engineer Assistant,Mechanic Auto Electrical and Electronics
CNC Machine Technicians,Electronics Mechanic
Computer Aided Embroidery and Designing,Turner
Computer Aided Manufacturing (CAM) Programmer,Draughtsman (Mechanical)
Computer Hardware & Network Maintenance,Refrigeration And Air Conditioning Technician
Computer Operator & Programming Assistant,Housekeeping
Construction Equipment Technicians,Printing Technology
Cosmetology,Dental Laboratory Technician
Cutting & Sewing,Embroidery & Needle Work
Dairy Technicians,Fire Technology and Industrial Safety Management
Data Base System Assistant,Food Processing
Data Entry Operator,Mechanical
Dental Laboratory Equipment Technician,Construction
Desk Top Publishing Operator,Architectural Draughtsman
Diesel Technicians,Packer  Loader  Despatch
Digital Photographer,Food & Beverages Services Assistant
Domestic Painter,Secretarial Practice (English)
Draughtsman (Civil),Mechanic (Consumer Electronics)
Draughtsman (Mechanical),TV Technicians
Drone Technician,Basic Cosmetology
Driver Cum Mechanic,Cosmetology
Early Childhood Educator,Electroplater
Electrician,Fire Operator
Electrician Power Distribution,Fire Technician
Electroplater,Fire Technology
Elevator Technicians,Sewing Technology
Fashion Design & Technology,Surface Ornamentation Techniques
Fibre to Home Technician,Instrument Mechanic
Finance Executive,Refrigerator Technician
Fire Technology and Industrial Safety Management,Foundryman
Firemen,Asst Fashion Designer (Apparel)
Floriculture & Landscaping,Customer Care Executive
Food & Beverages Services Assistant,Graphic Designer (Media & Entertainment)
Food Beverage,Interior Designer (Furniture & Fittings)
Food Production (General),Tour & Travels
Foundryman,Web Developer (IT&ITes)
Front Office Assistant,Mechanic Auto Body Painting
Fruit and Vegetable Processor,Mechanic Radio & T.V.
Gas Technicians,Solar Panel Installation Technician
Geo Informatics Assistant,Mechanic (Motor Vehicle)
Geriatric (Old Age) Care,Washing Machine Technician
Hair & Skin Care,Weaving Technician
Health Safety & Environment,Office Boy
Health Sanitary Inspector,Labour Helper
Horticulture,Phlebotomist
Hospital House Keeping,Asst.Beauty Therapist (Beauty & Wellness)
House Keeper,Painter General
Human Resource Executive,Desk Top Publishing Operator
HVAC Technicians,Domestic Data Entry Operator (IT&ITes)
Industrial Machinery Technicians,Fashion Design & Technology
Industrial Painter,Health Safety & enviroment
Industrial Robotics and Digital Manufacturing Technician,Health Sanitary Inspector
Information Communication Technology System Maintenance,Information Technology
Information Technology,Information Technology (IT)
In Plant Logistics Assistant,Tool & Die Maker (Dies & Moulds)
Instrument Mechanic,Mechanic Tractor
Instrument Mechanic (Chemical Plant),Mechanic (Machine Tool Maintenance)
Interior Design & Decoration,Civil Engineering
IoT Technician (Smart Agriculture),Multimedia
IoT Technician (Smart City),Network Technician
IoT Technician (Smart Healthcare),Surveyor
Laboratory Assistant (Chemical Plant),Wireman
Leather Goods Maker,Sheet Metal Worker
Lift and Escalator Mechanic,Machinist
Machinist,Mechanical Engineering
Machinist (Grinder),Computer Aided Embroidery & Designing
Maintenance Mechanic (Chemical Plant),Electrical Engineering
Marine Engine Fitter,Security Guard
Marine Fitter,Mechanic Auto Body Repair
Marketing Executive,RO Technicians
Mason (Building Constructor),Electronics Engineering
Mechanic Agriculture Machinery,Plumber
Mechanic Auto Body Painting,Carpenter
Mechanic Auto Body Repair,Sewing Machine Operator
Mechanic Auto Electrical and Electronics,General Duty Asst Adv (Healthcare)
Mechanic Consumer Electronics Appliances,Electrician
Mechanic Diesel,Mason
Mechanic Electric Vehicle,Warehouse Associate
Mechanic Electronics System Design and Repair,CCTV Technicians
Mechanic Lens/Prism Grinding,Plastic Processing Operator
Mechanic Machine Tool Maintenance,Micro Finance Executive
Mechanic Mining Machinery,Mechanic (Refrigeration and Air-Conditioning)
Mechanic (Motor Vehicle),IOT
Mechanic (Tractor),Draughtsman (Civil)
Mechanic Two & Three Wheeler,Delivery Executive
Medical Equipment Technicians,Fiber Optic Technician
Metal Cutting Attendant,Mobile Repair Technicians
Milk & Milk Product Technician,Food Production (General)
Multimedia Animation & Special Effects,Hair Cutter Dresser
Network Technicians,Stenographer & Secretarial Assistant
Operator Advanced Machine Tools,Mechanic Diesel
Painter General,Computer Engineering
Pest Control Technicians,Drivers
Physiotherapy Technician,Retail Sales
Plumber,Drone Instructor
Plastic Processing Operator,Instrumentation & control
Pump Operator-Cum-Mechanic,Medical Electronics
Radiology Technician,Machine Operator
Radiology - Technician,Fitter (Automotive)
Refrigeration and Air Conditioning Technician,AC Technician
Secretarial Practice (English),Automobile Technician
Sewing Technology,Boiler Attendant
Sheet Metal Worker,Central Aircondition Plant Mechanic
Smartphone Technician Cum App Tester,Chemical Engineering
Smart City IoT Technician,CNC Programmer Operator
Smart Healthcare IoT Technician,Computer Hardware & Network Maintenance
Software Testing Assistant,Digital Electronics
Solar Energy Technicians,Fire Man
Solar Technician (Electrical),Fitter (Furniture)
Spa Therapy,Fitter
Spinning Technician,Interior Design
Stenographer & Secretarial Assistant (English),Mining
Stenographer & Secretarial Assistant (Hindi),Paints and Coating
Stone Mining Machine Operator,
Stone Processing Machine Operator,
Surface Ornamentation Techniques (Embroidery),
Surveyor,
Textile Mechatronics,
Textile Wet Processing Technician,
Tool & Die Maker (Dies & Moulds),
"Tool & Die Maker (Press Tools, Jigs & Fixtures)",
Tourist Guide,
Travel & Tour Assistant,
Turner,
Vessel Navigator,
Warehouse Technician,
Weaver Technician,
Welding (Fabrication & Fitting),
Welding (GMAW & GTAW),
Welding (Inspection),
Welding (Pipe),
Welding (Structural),
Wind Turbine Technicians,
Wireman,
Wood Work Technician,